model_id,cluster_mean,spatial,cluster_sigma,offset,success,binder_loss,n_clusters,error
1,False,False,False,False,True,2804.879375,1,
2,False,False,False,True,True,2818.7615,4,
3,False,False,True,False,True,2618.5926249999998,1,
4,False,False,True,True,True,2289.7628750000003,2,
5,False,True,False,False,True,2818.645125,4,
6,False,True,False,True,True,2845.34125,5,
7,False,True,True,False,True,2055.395,3,
8,False,True,True,True,True,2428.944875,2,
9,True,False,False,False,True,266.95124999999996,3,
10,True,False,False,True,True,2045.0789999999997,2,
11,True,False,True,False,True,1011.118375,2,
12,True,False,True,True,True,1665.284,2,
13,True,True,False,False,True,1777.458,3,
14,True,True,False,True,True,2122.7913750000002,1,
15,True,True,True,False,True,1276.685375,2,
16,True,True,True,True,True,987.17225,1,
