model_id,cluster_beta,spatial,cluster_sigma,offset,cluster_alpha,success,binder_loss,n_clusters,error
1,False,False,False,False,False,True,3571.550875,5,
2,False,False,False,False,True,True,2221.9445,5,
3,False,False,False,True,False,True,3498.1611249999996,5,
4,False,False,False,True,True,True,2385.79375,5,
5,False,False,True,False,False,True,2764.25675,5,
6,False,False,True,False,True,True,1821.2243749999998,1,
7,False,False,True,True,False,True,2697.3561250000002,5,
8,False,False,True,True,True,True,1870.568375,2,
9,False,True,False,False,False,True,3459.517375,5,
10,False,True,False,False,True,True,2802.544875,5,
11,False,True,False,True,False,True,3398.2321250000005,5,
12,False,True,False,True,True,True,2751.9182499999997,5,
13,False,True,True,False,False,True,2777.047375,5,
14,False,True,True,False,True,True,863.55325,1,
15,False,True,True,True,False,True,2812.374,5,
16,False,True,True,True,True,True,986.39625,1,
17,True,False,False,False,False,True,41.65537499999999,1,
18,True,False,False,False,True,True,38.55812499999999,1,
19,True,False,False,True,False,True,69.82724999999999,1,
20,True,False,False,True,True,True,59.3955,1,
21,True,False,True,False,False,True,39.09024999999998,1,
22,True,False,True,False,True,True,36.55962499999998,1,
23,True,False,True,True,False,True,63.19887499999999,1,
24,True,False,True,True,True,True,55.45399999999999,1,
25,True,True,False,False,False,True,27.070749999999983,1,
26,True,True,False,False,True,True,34.10174999999998,1,
27,True,True,False,True,False,True,65.782125,1,
28,True,True,False,True,True,True,50.60287499999998,1,
29,True,True,True,False,False,True,43.30962499999998,1,
30,True,True,True,False,True,True,29.34174999999999,1,
31,True,True,True,True,False,True,57.975624999999994,1,
32,True,True,True,True,True,True,52.80562499999999,1,
