model_id,cluster_beta,spatial,cluster_sigma,offset,cluster_alpha,success,binder_loss,n_clusters,error
1,False,False,False,False,False,True,1876.55525,1,
2,False,False,False,False,True,True,1669.61175,1,
3,False,False,False,True,False,True,1880.73975,1,
4,False,False,False,True,True,True,1374.0082499999999,1,
5,False,False,True,False,False,True,1682.537,1,
6,False,False,True,False,True,True,1130.1837500000001,1,
7,False,False,True,True,False,True,1259.9769999999999,1,
8,False,False,True,True,True,True,424.00800000000004,1,
9,False,True,False,False,False,True,1886.33475,1,
10,False,True,False,False,True,True,1151.8435,1,
11,False,True,False,True,False,True,1888.87675,1,
12,False,True,False,True,True,True,1092.355,1,
13,False,True,True,False,False,True,855.4825,1,
14,False,True,True,False,True,True,315.48675000000003,1,
15,False,True,True,True,False,True,557.4555,1,
16,False,True,True,True,True,True,60.45325,1,
17,True,False,False,False,False,True,14.998499999999972,1,
18,True,False,False,False,True,True,12.62024999999997,1,
19,True,False,False,True,False,True,10.029249999999958,1,
20,True,False,False,True,True,True,8.356249999999953,1,
21,True,False,True,False,False,True,14.279499999999972,1,
22,True,False,True,False,True,True,11.566249999999975,1,
23,True,False,True,True,False,True,9.534999999999961,1,
24,True,False,True,True,True,True,8.750749999999965,1,
25,True,True,False,False,False,True,13.507249999999974,1,
26,True,True,False,False,True,True,11.04949999999996,1,
27,True,True,False,True,False,True,6.787249999999959,1,
28,True,True,False,True,True,True,6.0472499999999645,1,
29,True,True,True,False,False,True,13.22724999999997,1,
30,True,True,True,False,True,True,12.028499999999958,1,
31,True,True,True,True,False,True,5.941499999999962,1,
32,True,True,True,True,True,True,5.884749999999955,1,
