model_id,cluster_beta,spatial,cluster_sigma,offset,cluster_alpha,success,binder_loss,n_clusters,error
1,False,False,False,False,False,True,3292.7513750000003,5,
2,False,False,False,False,True,True,2407.2816250000005,4,
3,False,False,False,True,False,True,3269.180375,5,
4,False,False,False,True,True,True,2559.804125,3,
5,False,False,True,False,False,True,2678.31925,1,
6,False,False,True,False,True,True,1476.149375,1,
7,False,False,True,True,False,True,2754.751875,5,
8,False,False,True,True,True,True,1541.614,1,
9,False,True,False,False,False,True,3257.2278750000005,5,
10,False,True,False,False,True,True,2572.2030000000004,2,
11,False,True,False,True,False,True,3221.365375,5,
12,False,True,False,True,True,True,2460.483,2,
13,False,True,True,False,False,True,2362.27125,2,
14,False,True,True,False,True,True,636.9187499999999,1,
15,False,True,True,True,False,True,2580.669875,4,
16,False,True,True,True,True,True,878.31325,1,
17,True,False,False,False,False,True,31.986624999999982,1,
18,True,False,False,False,True,True,28.226874999999982,1,
19,True,False,False,True,False,True,49.743124999999985,1,
20,True,False,False,True,True,True,44.89812499999999,1,
21,True,False,True,False,False,True,28.636499999999984,1,
22,True,False,True,False,True,True,27.332749999999983,1,
23,True,False,True,True,False,True,47.83462499999999,1,
24,True,False,True,True,True,True,42.566124999999985,1,
25,True,True,False,False,False,True,24.64437499999998,1,
26,True,True,False,False,True,True,20.132874999999977,1,
27,True,True,False,True,False,True,45.78212499999998,1,
28,True,True,False,True,True,True,37.60749999999997,1,
29,True,True,True,False,False,True,22.175499999999975,1,
30,True,True,True,False,True,True,22.08712499999998,1,
31,True,True,True,True,False,True,51.90462499999999,1,
32,True,True,True,True,True,True,50.90187499999998,1,
