model_id,cluster_beta,spatial,cluster_sigma,offset,cluster_alpha,success,binder_loss,n_clusters,error
1,False,False,False,False,False,True,3190.9034999999994,5,
2,False,False,False,False,True,True,2347.0538749999996,5,
3,False,False,False,True,False,True,3200.4515,5,
4,False,False,False,True,True,True,2493.5535,4,
5,False,False,True,False,False,True,2839.32075,5,
6,False,False,True,False,True,True,2445.233375,2,
7,False,False,True,True,False,True,2742.5902499999997,5,
8,False,False,True,True,True,True,1882.2777500000002,2,
9,False,True,False,False,False,True,3181.3365,5,
10,False,True,False,False,True,True,2161.536125,5,
11,False,True,False,True,False,True,3194.243125,5,
12,False,True,False,True,True,True,2714.3221249999997,3,
13,False,True,True,False,False,True,2404.6075,5,
14,False,True,True,False,True,True,1592.112875,4,
15,False,True,True,True,False,True,2829.352,5,
16,False,True,True,True,True,True,1693.4432499999998,1,
17,True,False,False,False,False,True,1842.8935,1,
18,True,False,False,False,True,True,1730.9091250000001,1,
19,True,False,False,True,False,True,543.772375,1,
20,True,False,False,True,True,True,95.84825000000001,1,
21,True,False,True,False,False,True,807.104375,1,
22,True,False,True,False,True,True,705.3525,1,
23,True,False,True,True,False,True,117.27925,1,
24,True,False,True,True,True,True,81.39949999999999,1,
25,True,True,False,False,False,True,733.5053750000001,2,
26,True,True,False,False,True,True,232.20387499999998,1,
27,True,True,False,True,False,True,84.09375,1,
28,True,True,False,True,True,True,55.86224999999999,1,
29,True,True,True,False,False,True,283.28925000000004,2,
30,True,True,True,False,True,True,204.493625,1,
31,True,True,True,True,False,True,66.81800000000001,1,
32,True,True,True,True,True,True,57.77175,1,
