model_id,cluster_beta,spatial,cluster_sigma,offset,cluster_alpha,success,binder_loss,n_clusters,error
1,False,False,False,False,False,True,2843.15125,5,
2,False,False,False,False,True,True,2540.852625,2,
3,False,False,False,True,False,True,2828.233375,5,
4,False,False,False,True,True,True,2389.639625,1,
5,False,False,True,False,False,True,2121.92825,1,
6,False,False,True,False,True,True,1060.7050000000002,1,
7,False,False,True,True,False,True,2349.041625,1,
8,False,False,True,True,True,True,1155.71825,1,
9,False,True,False,False,False,True,2828.891,5,
10,False,True,False,False,True,True,1957.534375,1,
11,False,True,False,True,False,True,2840.821375,5,
12,False,True,False,True,True,True,2159.019375,1,
13,False,True,True,False,False,True,1927.098625,1,
14,False,True,True,False,True,True,506.411875,1,
15,False,True,True,True,False,True,2124.081875,1,
16,False,True,True,True,True,True,506.13275,1,
17,True,False,False,False,False,True,21.53462499999998,1,
18,True,False,False,False,True,True,19.363124999999975,1,
19,True,False,False,True,False,True,35.09662499999998,1,
20,True,False,False,True,True,True,30.258249999999983,1,
21,True,False,True,False,False,True,20.331374999999973,1,
22,True,False,True,False,True,True,18.099249999999977,1,
23,True,False,True,True,False,True,30.850499999999982,1,
24,True,False,True,True,True,True,28.159124999999975,1,
25,True,True,False,False,False,True,18.809374999999974,1,
26,True,True,False,False,True,True,13.672124999999971,1,
27,True,True,False,True,False,True,37.001249999999985,1,
28,True,True,False,True,True,True,29.146249999999974,1,
29,True,True,True,False,False,True,16.80774999999997,1,
30,True,True,True,False,True,True,10.109124999999969,1,
31,True,True,True,True,False,True,29.89212499999998,1,
32,True,True,True,True,True,True,26.009249999999977,1,
