model_id,cluster_beta,spatial,cluster_sigma,offset,cluster_alpha,success,binder_loss,n_clusters,error
1,False,False,False,False,False,True,3443.1701249999996,5,
2,False,False,False,False,True,True,2236.3255,5,
3,False,False,False,True,False,True,3314.9598750000005,5,
4,False,False,False,True,True,True,2369.958625,5,
5,False,False,True,False,False,True,2720.7145,5,
6,False,False,True,False,True,True,2405.7103749999997,4,
7,False,False,True,True,False,True,2859.591375,5,
8,False,False,True,True,True,True,2163.092375,2,
9,False,True,False,False,False,True,3433.998,5,
10,False,True,False,False,True,True,2500.6148749999998,5,
11,False,True,False,True,False,True,3504.247625,5,
12,False,True,False,True,True,True,2676.4077500000003,5,
13,False,True,True,False,False,True,2825.7285,5,
14,False,True,True,False,True,True,1791.711625,5,
15,False,True,True,True,False,True,3080.669625,5,
16,False,True,True,True,True,True,1855.59675,1,
17,True,False,False,False,False,True,1999.917,2,
18,True,False,False,False,True,True,2151.092,1,
19,True,False,False,True,False,True,207.7835,1,
20,True,False,False,True,True,True,121.948125,1,
21,True,False,True,False,False,True,816.2795,1,
22,True,False,True,False,True,True,842.284125,1,
23,True,False,True,True,False,True,147.75,1,
24,True,False,True,True,True,True,105.35624999999999,1,
25,True,True,False,False,False,True,937.682,3,
26,True,True,False,False,True,True,297.951,2,
27,True,True,False,True,False,True,120.32250000000002,1,
28,True,True,False,True,True,True,93.294625,1,
29,True,True,True,False,False,True,364.161875,2,
30,True,True,True,False,True,True,233.68925,2,
31,True,True,True,True,False,True,100.25775,1,
32,True,True,True,True,True,True,79.55525,1,
