model_id,cluster_beta,spatial,cluster_sigma,offset,cluster_alpha,success,binder_loss,n_clusters,error,K,covariate_set
16,False,True,True,True,True,True,176.98600000000002,1,,3,cov
17,True,False,False,False,False,True,29.32724999999998,1,,3,cov
18,True,False,False,False,True,True,26.924124999999982,1,,3,cov
19,True,False,False,True,False,True,19.501124999999973,1,,3,cov
20,True,False,False,True,True,True,18.85487499999997,1,,3,cov
21,True,False,True,False,False,True,28.22199999999998,1,,3,cov
22,True,False,True,False,True,True,25.64037499999998,1,,3,cov
23,True,False,True,True,False,True,19.80062499999997,1,,3,cov
24,True,False,True,True,True,True,16.965374999999973,1,,3,cov
25,True,True,False,False,False,True,28.480749999999976,1,,3,cov
26,True,True,False,False,True,True,26.29374999999997,1,,3,cov
27,True,True,False,True,False,True,13.399999999999974,1,,3,cov
28,True,True,False,True,True,True,11.179374999999968,1,,3,cov
29,True,True,True,False,False,True,27.58424999999998,1,,3,cov
30,True,True,True,False,True,True,24.99112499999998,1,,3,cov
31,True,True,True,True,False,True,12.743249999999977,1,,3,cov
32,True,True,True,True,True,True,11.275374999999968,1,,3,cov
